RECORD_ID,LOADED_AT,ATHLETE_NAME_ORIGINAL,ATHLETE_LAST_NAME,ATHLETE_FIRST_NAME,RELEASE_DATE,YEAR,CLASS,COUNTRY,AGE,RANK,RANK_POINTS,POINTSR1,POINTSR2,POINTSR3,POINTSR4,POINTSR5,POINTSR6,POINTSR7,POINTSR8,POINTSR9,POINTSR10,POINTSR11,POINTSR12,POINTSR13,POINTSR14,POINTSR15,POINTSR16,POINTSR17,POINTSR18,POINTSR19,POINTSR20,POINTSR21,POINTSR22,POINTSR23,POINTSR24,POINTSR25,POINTSR26,POINTSR27,POINTSR28,POINTSR29,POINTSR30,POINTSR31,POINTSR32,POINTSR33,POINTSR34,POINTSR35,POINTSR36,POINTSR37,POINTSR38,POINTSR39,POINTSR40,POINTSR41,POINTSR42,POINTSR43,POINTSR44,POINTSR45,POINTSR46,POINTSR47,POINTSR48,POINTSR49,POINTSR50,POINTSR51,POINTSR52,POINTSR53,POINTSR54,POINTSR55,POINTSR56,POINTSR57,POINTSR58,POINTSR59,POINTSR60,POINTSR61,POINTSR62,POINTSR63,POINTSR64,POINTSR65,POINTSR66,POINTSR67,POINTSR68,POINTSR69,POINTSR70,POINTSR71,POINTSR72,POINTSR73,POINTSR74,POINTSR75,POINTSR76,POINTSR77,POINTSR78,POINTSR79,POINTSR80,POINTSR81,POINTSR82,POINTSR83,POINTSR84,POINTSR85,POINTSR86,POINTSR87,POINTSR88,POINTSR89,POINTSR90,POINTSR91,POINTSR92,POINTSR93,POINTSR94,POINTSR95,POINTSR96,POINTSR97,POINTSR98,POINTSR99,POINTSR100
1ee0c278620f8f93dbb77a17c694bf4a,1778585356774369,Peter KAUZER,KAUZER,Peter,2009-08-22,2009,MK1,SLO,26,1,0,3.46;World Championships Tacen 2009; qp:3.46,2.82;Slovak Open Bratislava 2009; qp:2.82,None,6.54;ICF World ranking Kananaskis 2009; qp:6.17,0;World Cup Augsburg 2009; qp:0,19.44;World Cup Bratislava 2009; qp:0,0;World Cup Pau 2009; qp:0,None,None,None,5.73;ICF World ranking Nottingham 2009; qp:0.91,2.81;Tatra slalom Liptovsky Mikulas 2009; qp:2.36,1.43;ICF World ranking Solkan 2009; qp:1.43,5.4;Australian Open Penrith 2009; qp:2.53,None,17.76;ICF World ranking Beijing 2008; qp:0,None,None,0;World Cup Tacen 2008; qp:0,23.44;World Cup Prague 2008; qp:0,None,2.37;ICF World ranking Cracow 2008; qp:1.23,None,None,None,16.34;World Championships Foz do Iguassu 2007; qp:0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
758abdaaf72cbf457f73d1953840b77b,1778585356774369,Peter KAUZER,KAUZER,Peter,2009-07-11,2009,MK1,SLO,26,1,0,0;World Cup Augsburg 2009; qp:0,19.44;World Cup Bratislava 2009; qp:0,0;World Cup Pau 2009; qp:0,None,None,None,5.73;ICF World ranking Nottingham 2009; qp:0.91,2.81;Tatra slalom Liptovsky Mikulas 2009; qp:2.36,1.43;ICF World ranking Solkan 2009; qp:1.43,5.4;Australian Open Penrith 2009; qp:2.53,None,17.76;ICF World ranking Beijing 2008; qp:0,None,None,0;World Cup Tacen 2008; qp:0,23.44;World Cup Prague 2008; qp:0,None,2.37;ICF World ranking Cracow 2008; qp:1.23,None,None,None,16.34;World Championships Foz do Iguassu 2007; qp:0,None,52.56;ICF World ranking Foz do Iguassu 2007; qp:1.19,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
25ee21cd3e0c673d76325e45c3603d15,1778585356774369,Peter KAUZER,KAUZER,Peter,2009-06-20,2009,MK1,SLO,26,2,0.88,None,None,None,5.73;ICF World ranking Nottingham 2009; qp:0.91,2.81;Tatra slalom Liptovsky Mikulas 2009; qp:2.36,1.43;ICF World ranking Solkan 2009; qp:1.43,5.4;Australian Open Penrith 2009; qp:2.53,None,17.76;ICF World ranking Beijing 2008; qp:0,None,None,0;World Cup Tacen 2008; qp:0,23.44;World Cup Prague 2008; qp:0,None,2.37;ICF World ranking Cracow 2008; qp:1.23,None,None,None,16.34;World Championships Foz do Iguassu 2007; qp:0,None,1.79;World Cup Augsburg 2007; qp:0,10;World Cup Tacen 2007; qp:0,2.56;World Cup Prague 2007; qp:0,1.2;ICF World ranking Liptovsky Mikulas 2007; qp:0.99,52.56;ICF World ranking Foz do Iguassu 2007; qp:1.19,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
11bdcfd0871d1601f0ffcb643c1f5b26,1778585356774369,Peter KAUZER,KAUZER,Peter,2008-08-08,2008,MK1,SLO,25,3,0.4,17.76;ICF World ranking Beijing 2008; qp:0,None,None,0;World Cup Tacen 2008; qp:0,23.44;World Cup Prague 2008; qp:0,None,2.37;ICF World ranking Cracow 2008; qp:1.23,None,None,None,16.34;World Championships Foz do Iguassu 2007; qp:0,None,1.79;World Cup Augsburg 2007; qp:0,10;World Cup Tacen 2007; qp:0,2.56;World Cup Prague 2007; qp:0,1.2;ICF World ranking Liptovsky Mikulas 2007; qp:0.99,52.56;ICF World ranking Foz do Iguassu 2007; qp:1.19,None,4.66;World Championships Prague 2006; qp:0,1.87;ICF World ranking Argentiere la Bessee 2006; qp:0.98,0;World Cup La Seu 2006; qp:0,15.4;World Cup Ausgburg 2006; qp:0,20.28;World Cup Athens 2006; qp:0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
56abc8ba70508cc8ae7caba9e130abb6,1778585356774369,Peter KAUZER,KAUZER,Peter,2008-07-11,2008,MK1,SLO,25,2,0.4,None,None,0;World Cup Tacen 2008; qp:0,23.44;World Cup Prague 2008; qp:0,None,2.37;ICF World ranking Cracow 2008; qp:1.23,None,None,None,16.34;World Championships Foz do Iguassu 2007; qp:0,None,1.79;World Cup Augsburg 2007; qp:0,10;World Cup Tacen 2007; qp:0,2.56;World Cup Prague 2007; qp:0,1.2;ICF World ranking Liptovsky Mikulas 2007; qp:0.99,52.56;ICF World ranking Foz do Iguassu 2007; qp:1.19,None,4.66;World Championships Prague 2006; qp:0,1.87;ICF World ranking Argentiere la Bessee 2006; qp:0.98,0;World Cup La Seu 2006; qp:0,15.4;World Cup Ausgburg 2006; qp:0,20.28;World Cup Athens 2006; qp:0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
376009e9dc6f8f896f0d5358c1044ee3,1778585356774369,Peter KAUZER,KAUZER,Peter,2008-05-17,2008,MK1,SLO,25,4,1,None,2.37;ICF World ranking Cracow 2008; qp:1.23,None,None,None,16.34;World Championships Foz do Iguassu 2007; qp:0,None,1.79;World Cup Augsburg 2007; qp:0,10;World Cup Tacen 2007; qp:0,2.56;World Cup Prague 2007; qp:0,1.2;ICF World ranking Liptovsky Mikulas 2007; qp:0.99,52.56;ICF World ranking Foz do Iguassu 2007; qp:1.19,None,4.66;World Championships Prague 2006; qp:0,1.87;ICF World ranking Argentiere la Bessee 2006; qp:0.98,0;World Cup La Seu 2006; qp:0,15.4;World Cup Ausgburg 2006; qp:0,20.28;World Cup Athens 2006; qp:0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
494d0d1a3bc8d1b8e0c5296adb1b9aa5,1778585356774369,Peter KAUZER,KAUZER,Peter,2007-09-19,2007,MK1,SLO,24,4,1,16.34;World Championships Foz do Iguassu 2007; qp:0,None,1.79;World Cup Augsburg 2007; qp:0,10;World Cup Tacen 2007; qp:0,2.56;World Cup Prague 2007; qp:0,1.2;ICF World ranking Liptovsky Mikulas 2007; qp:0.99,52.56;ICF World ranking Foz do Iguassu 2007; qp:1.19,None,4.66;World Championships Prague 2006; qp:0,1.87;ICF World ranking Argentiere la Bessee 2006; qp:0.98,0;World Cup La Seu 2006; qp:0,15.4;World Cup Ausgburg 2006; qp:0,20.28;World Cup Athens 2006; qp:0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e64aaa2a86ea27e053ffb9272d7c3bf6,1778585356774369,Peter KAUZER,KAUZER,Peter,2007-08-16,2007,MK1,SLO,24,4,1,None,1.79;World Cup Augsburg 2007; qp:0,10;World Cup Tacen 2007; qp:0,2.56;World Cup Prague 2007; qp:0,1.2;ICF World ranking Liptovsky Mikulas 2007; qp:0.99,52.56;ICF World ranking Foz do Iguassu 2007; qp:1.19,None,4.66;World Championships Prague 2006; qp:0,1.87;ICF World ranking Argentiere la Bessee 2006; qp:0.98,0;World Cup La Seu 2006; qp:0,15.4;World Cup Ausgburg 2006; qp:0,20.28;World Cup Athens 2006; qp:0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
043015e9e42dbbec570bed47abdc53cf,1778585356774369,Peter KAUZER,KAUZER,Peter,2007-07-14,2007,MK1,SLO,24,4,1,1.79;World Cup Augsburg 2007; qp:0,10;World Cup Tacen 2007; qp:0,2.56;World Cup Prague 2007; qp:0,1.2;ICF World ranking Liptovsky Mikulas 2007; qp:0.99,52.56;ICF World ranking Foz do Iguassu 2007; qp:1.19,None,None,4.66;World Championships Prague 2006; qp:0,1.87;ICF World ranking Argentiere la Bessee 2006; qp:0.98,0;World Cup La Seu 2006; qp:0,15.4;World Cup Ausgburg 2006; qp:0,20.28;World Cup Athens 2006; qp:0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
b6b610bafe26e2862032dafed8976e5d,1778585356774369,Peter KAUZER,KAUZER,Peter,2007-06-14,2007,MK1,SLO,24,1,1.35,1.2;ICF World ranking Liptovsky Mikulas 2007; qp:0.99,52.56;ICF World ranking Foz do Iguassu 2007; qp:1.19,None,None,4.66;World Championships Prague 2006; qp:0,1.87;ICF World ranking Argentiere la Bessee 2006; qp:0.98,0;World Cup La Seu 2006; qp:0,15.4;World Cup Ausgburg 2006; qp:0,20.28;World Cup Athens 2006; qp:0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
