Year,Rank,Name,NOC,Class
2010,3,Zeno Ivaldi,ITA,K1 - Men
2010,4,Michal Smolen,USA,K1 - Men
2010,5,Quentin Burgi,FRA,K1 - Men
2010,6,Lorenzo Veronesi,ITA,K1 - Men
2010,7,Laurenz Laugwitz,GER,K1 - Men
2010,8,Ondrej Cvikl,CZE,K1 - Men
2010,9,Quentin De Fierville,FRA,K1 - Men
2010,10,Maarten Hermans,NED,K1 - Men
2010,11,Jirí Prskavec,CZE,K1 - Men
2010,12,Pedro Gonçalves,BRA,K1 - Men
2010,13,Michael Tayler,CAN,K1 - Men
2010,14,Rafal Polaczyk,POL,K1 - Men
2010,15,Fabian Schweikert,GER,K1 - Men
2010,16,David Bain,GBR,K1 - Men
2010,17,Fabian Schüssler,GER,K1 - Men
2010,18,Maciej Okreglak,POL,K1 - Men
2010,19,Miroslav Urban,SVK,K1 - Men
2010,20,Pau Ganyet,ESP,K1 - Men
2010,21,Damian Piszczynski,POL,K1 - Men
2010,22,Nejc Rusjan,SLO,K1 - Men
2010,23,Callum Gibb,NZL,K1 - Men
2010,24,Ciaran Lee Edwards,GBR,K1 - Men
2010,25,Jaroslav Strnad,CZE,K1 - Men
2010,26,Andrej Malek,SVK,K1 - Men
2010,27,Matej Poljanec,SLO,K1 - Men
2010,28,Vladislav Panin,RUS,K1 - Men
2010,29,Artem Shim,RUS,K1 - Men
2010,30,Joseph Clarke,GBR,K1 - Men
2010,31,Xabier Jauregi,ESP,K1 - Men
2010,32,Felix Kutscha-Lissberg,AUT,K1 - Men
2010,33,Ya Tan,CHN,K1 - Men
2010,34,Andrew Eckhardt,AUS,K1 - Men
2010,35,Charles Fernando Correa,BRA,K1 - Men
2010,36,Anderson Dos Santos,BRA,K1 - Men
2010,37,Carl Whithead,NZL,K1 - Men
2010,38,George Meysner,SUI,K1 - Men
2010,39,Andreas Langer,AUT,K1 - Men
2010,40,Bryan Seiler,FRA,K1 - Men
2010,41,Peter Lutter,USA,K1 - Men
2010,42,Max-Emile Petitclerc,CAN,K1 - Men
2010,43,Manuel Töplitzer,AUT,K1 - Men
2010,44,Sebastain Ewing,AUS,K1 - Men
2010,45,Patxi Ugalde,ESP,K1 - Men
2010,46,Malcom Gibson,NZL,K1 - Men
2010,47,Koyuta Misawa,JPN,K1 - Men
2010,48,Timothy Anderson,AUS,K1 - Men
2010,49,Rodrigo Magalhaes,POR,K1 - Men
2010,50,Igor Stefanovski,MKD,K1 - Men
2010,51,Simon Ranagan,USA,K1 - Men
2010,52,Martin Janata,SVK,K1 - Men
2010,53,Yutaro Saeki,JPN,K1 - Men
2010,54,Predrag Pavlovic,SRB,K1 - Men
2010,55,Jianyi Su,CHN,K1 - Men
2010,56,Louis Bandelier,SUI,K1 - Men
2010,57,Tatsuya Morita,JPN,K1 - Men
2010,58,Benoit Dubath,SUI,K1 - Men
2010,59,Marnick Van Veghel,NED,K1 - Men
2010,60,Tao Yuan,CHN,K1 - Men
2010,61,Adrian Cole,CAN,K1 - Men
2010,62,Dirk Hermans,NED,K1 - Men
2010,63,Facundo Gancedo,ARG,K1 - Men
2010,64,Andras Straub,HUN,K1 - Men
2010,65,Simantas Mazeikis,LTU,K1 - Men
2010,66,Sebastian Contreras,ARG,K1 - Men
2010,67,Shane Harkin,IRL,K1 - Men
2010,68,Anil Acar,TUR,K1 - Men
2010,69,Katleho Success Mashlaba,RSA,K1 - Men
2010,70,Villius Rasimavicius,LTU,K1 - Men
2010,71,Vytenis Latauska,LTU,K1 - Men
2010,72,Paul Henry,IRL,K1 - Men
2010,73,Donovan Wewege,RSA,K1 - Men
2010,74,Burak Yilmaz,TUR,K1 - Men
2012,1,Miroslav Urban,SVK,K1 - Men
2012,2,Tom Scianimanico,FRA,K1 - Men
2012,3,Jakub Grigar,SVK,K1 - Men
2012,4,Vid Karner,SLO,K1 - Men
2012,5,Ondrej Hosek,CZE,K1 - Men
2012,6,Michael Wilson,GBR,K1 - Men
2012,7,Samuel Hegge,GER,K1 - Men
2012,8,Daniel Watkins,AUS,K1 - Men
2012,9,Martin Srabotnik,SLO,K1 - Men
2012,10,Janis Dubsky,SUI,K1 - Men
2012,11,Nikita Gubenko,RUS,K1 - Men
2012,12,Mathieu Desnos,FRA,K1 - Men
2012,13,Manuel Munsch,SUI,K1 - Men
2012,14,Bradley Forbes-Cryans,GBR,K1 - Men
2012,15,Cole O'Connor-Stratton,NZL,K1 - Men
2012,16,Timothy Anderson,AUS,K1 - Men
2012,17,Guilherme Marcello Mapelli,BRA,K1 - Men
2012,18,Bartosz Debowski,POL,K1 - Men
2012,19,Bernat Lavaquiol,ESP,K1 - Men
2012,20,Yutaro Saeki,JPN,K1 - Men
2012,21,Finn Butcher,NZL,K1 - Men
2012,22,Matous Bahensky,CZE,K1 - Men
2012,23,Andrej Malek,SVK,K1 - Men
2012,24,Eryk Lejmel,POL,K1 - Men
2012,25,Cully Brown,USA,K1 - Men
2012,26,Dirk Hermans,NED,K1 - Men
2012,27,Struan Mcdonald,GBR,K1 - Men
2012,28,Pawel Peszelewski,POL,K1 - Men
2012,29,Donovan Wewege,RSA,K1 - Men
2012,30,Ryley Penner,CAN,K1 - Men
2012,31,Andrew Eckhardt,AUS,K1 - Men
2012,32,Timon Lutz,GER,K1 - Men
2012,33,Petr Bincik,CZE,K1 - Men
2012,34,Niek Hendriks,NED,K1 - Men
2012,35,Rok Markocic,SLO,K1 - Men
2012,36,Takashi Ogura,JPN,K1 - Men
2012,37,Gerome Martin,SUI,K1 - Men
2012,38,Stefan Hengst,GER,K1 - Men
2012,39,Cole Moore,USA,K1 - Men
2012,40,Michael Rudnitski,USA,K1 - Men
2012,41,Geoffrey Johnson,NZL,K1 - Men
2012,42,Sebastian Contreras,ARG,K1 - Men
2012,43,Cade Ryan,IRL,K1 - Men
2012,44,Levi Severtson,CAN,K1 - Men
2012,45,Samuel Primeau,CAN,K1 - Men
2012,46,Eoin Teague,IRL,K1 - Men
2012,47,Oisin Farrell,IRL,K1 - Men
2012,48,Takanori Uehara,JPN,K1 - Men
2013,1,Jakub Grigar,SVK,K1 - Men
2013,2,Andrej Malek,SVK,K1 - Men
2013,3,Bastien Damiens,FRA,K1 - Men
2013,4,Bradley Forbes-Cryans,GBR,K1 - Men
2013,5,Peter Blasbalg,SVK,K1 - Men
2013,6,Eryk Lejmel,POL,K1 - Men
2013,7,Ondrej Hosek,CZE,K1 - Men
2013,8,Mathys Huvelin,FRA,K1 - Men
2013,9,Vid Kuder Marusic,SLO,K1 - Men
2013,10,David Franke,GER,K1 - Men
2013,11,Vid Karner,SLO,K1 - Men
2013,12,Daniel Watkins,AUS,K1 - Men
2013,13,Hynek Pechlat,CZE,K1 - Men
2013,14,Erik Holmer,SWE,K1 - Men
2013,15,Aleksandr Nepogodin,RUS,K1 - Men
2013,16,Finn Butcher,NZL,K1 - Men
2013,17,Mario Leitner,AUT,K1 - Men
2013,18,Martin Srabotnik,SLO,K1 - Men
2013,19,Song Huang,CHN,K1 - Men
2013,20,Cole Moore,USA,K1 - Men
2013,21,Angus Thompson,AUS,K1 - Men
2013,22,Jordi Cadena Sanchez,ESP,K1 - Men
2013,23,Bartosz Debowski,POL,K1 - Men
2013,24,Kacper Cwik,POL,K1 - Men
2013,25,Dirk Hermans,NED,K1 - Men
2013,26,Jan Zvolanek,CZE,K1 - Men
2013,27,Zachary Allin,GBR,K1 - Men
2013,28,Nikita Kazantcev,RUS,K1 - Men
2013,29,Nikita Inkin,RUS,K1 - Men
2013,30,Hengtong Zhang,CHN,K1 - Men
2013,31,Enzo Seker,TUR,K1 - Men
2013,32,Felix Merklein,GER,K1 - Men
2013,33,Unai Nabaskues Lasheras,ESP,K1 - Men
2013,34,Callum Gilbert,NZL,K1 - Men
2013,35,Manuel Munsch,SUI,K1 - Men
2013,36,Quentin Mignard,FRA,K1 - Men
2013,37,Matthias Weger,ITA,K1 - Men
2013,38,Austin Barker,GBR,K1 - Men
2013,39,Leo Bolg,GER,K1 - Men
2013,40,Davide Del Tin,ITA,K1 - Men
2013,41,Leon Bosma,NED,K1 - Men
2013,42,Michael Rudnitski,USA,K1 - Men
2013,43,Haoran Zhu,CHN,K1 - Men
2013,44,Stann Savels,BEL,K1 - Men
2013,45,Marnix Teunissen,NED,K1 - Men
2013,46,Ludwig Andersson,SWE,K1 - Men
2013,47,Marcello Beda,ITA,K1 - Men
2013,48,Kostiantyn Rudenko,UKR,K1 - Men
2013,49,Ren Korpes,CRO,K1 - Men
2013,50,Ryley Penner,CAN,K1 - Men
2013,51,Samuel Stanovsky,LAT,K1 - Men
2013,52,Shuhei Urano,JPN,K1 - Men
2013,53,Igor Gnidenko,UKR,K1 - Men
2013,54,Brodie Crawford,AUS,K1 - Men
2013,55,Juan Martinez,ESP,K1 - Men
2013,56,Simantas Mazeikis,LTU,K1 - Men
2013,57,Suworna Puri,NEP,K1 - Men
2013,58,Spencer Huff,USA,K1 - Men
2013,59,Matthew Arnott,NZL,K1 - Men
2013,60,Ruslan Pestov,UKR,K1 - Men
2013,61,Samuel Primeau,CAN,K1 - Men
2013,62,Shao-Hsuan Wu,TPE,K1 - Men
2013,63,Maxime Leboeuf,CAN,K1 - Men
2013,64,Takashi Ogura,JPN,K1 - Men
2013,65,Cade Ryan,IRL,K1 - Men
2013,66,Paulius Popiera,LTU,K1 - Men
2013,67,Dimitar Velkov,MKD,K1 - Men
2013,68,Evripidis Zisekas,GRE,K1 - Men
2013,69,Daichi Kojima,JPN,K1 - Men
2013,70,Alexander Zlatarov,MKD,K1 - Men
2013,71,Brandon Orpwood,RSA,K1 - Men
2013,72,Nicolas Vuille,SUI,K1 - Men
2013,73,Arno Zarn,SUI,K1 - Men
2013,74,Eoin Teague,IRL,K1 - Men
2013,75,Oisin Farrell,IRL,K1 - Men
2013,76,Artsem Shyshko,BLR,K1 - Men
2013,77,Vili Jordanov,MKD,K1 - Men
2013,78,Ognjen Dimitrijevic,SRB,K1 - Men
2013,79,Ariel Moran,ARG,K1 - Men
2013,80,Damian Kukec,CRO,K1 - Men
2013,81,Aivaras Goncarovas,LTU,K1 - Men
2013,82,Faik Kopuz,TUR,K1 - Men
2014,1,Mario Leitner,AUT,K1 - Men
2014,2,Vid Kuder Marusic,SLO,K1 - Men
2014,3,Jakub Grigar,SVK,K1 - Men
2014,4,Niko Testen,SLO,K1 - Men
2014,5,Mathurin Madoré,FRA,K1 - Men
2014,6,Richard Macus,SVK,K1 - Men
2014,7,Leo Bolg,GER,K1 - Men
2014,8,Callum Gilbert,NZL,K1 - Men
2014,9,Zachary Allin,GBR,K1 - Men
2014,10,Angus Thompson,AUS,K1 - Men
2014,11,Jakub Stanovsky,SVK,K1 - Men
2014,12,Tomas Rousek,CZE,K1 - Men
2014,13,Pol Oulhen,FRA,K1 - Men
2014,14,David Llorente,ESP,K1 - Men
2014,15,Petr Sodek,CZE,K1 - Men
2014,16,Unai Nabaskues Lasheras,ESP,K1 - Men
2014,17,Jordi Cadena Sanchez,ESP,K1 - Men
2014,18,Alex Hawthorne,NZL,K1 - Men
2014,19,Samuel Stanovsky,LAT,K1 - Men
2014,20,Jakub Brzezinski,POL,K1 - Men
2014,21,Vid Karner,SLO,K1 - Men
2014,22,Song Huang,CHN,K1 - Men
2014,23,Ryley Penner,CAN,K1 - Men
2014,24,Zachary Zwanenburg,CAN,K1 - Men
2014,25,Felipa Almeida,BRA,K1 - Men
2014,26,Christopher Bowers,GBR,K1 - Men
2014,27,Tyler Smith,USA,K1 - Men
2014,28,Theodore Pepper,NZL,K1 - Men
2014,29,Tyler Westfall,USA,K1 - Men
2014,30,Brandon Orpwood,RSA,K1 - Men
2014,31,Chun-Hsien Chang,TPE,K1 - Men
2014,32,Lachlan Croft,AUS,K1 - Men
2014,33,Gelindo Chiarello,SUI,K1 - Men
2014,34,Maxime Leboeuf,CAN,K1 - Men
2014,35,Shao-Hsuan Wu,TPE,K1 - Men
2014,36,Ursin Flepp,SUI,K1 - Men
2014,37,Kacper Cwik,POL,K1 - Men
2014,38,Jordan Sherman,USA,K1 - Men
2014,39,Geronimo Cortez,ARG,K1 - Men
2014,40,Pavel Supolik,CZE,K1 - Men
2014,41,Arno Zarn,SUI,K1 - Men
2014,42,Ryota Morita,JPN,K1 - Men
2014,43,Tristan Carter,AUS,K1 - Men
2014,44,Daniel Tuiraviravi,FIJ,K1 - Men
2014,45,Rattanajet Chooampai,THA,K1 - Men
2014,46,Tarik Tugcu,TUR,K1 - Men
2014,47,Sami Rocher,FRA,K1 - Men
2014,48,Austin Barker,GBR,K1 - Men
2014,49,Ryo Yamamoto,JPN,K1 - Men
2014,50,Korawit Sukjaeng,THA,K1 - Men
2014,51,Angelo Sosa,VEN,K1 - Men
2015,1,Jakub Grigar,SVK,K1 - Men
2015,2,Malo Quemeneur,FRA,K1 - Men
2015,3,Thomas Strauss,GER,K1 - Men
2015,4,Samuel Stanovsky,SVK,K1 - Men
2015,5,Alexandr Maikranz,CZE,K1 - Men
2015,6,Christopher Bowers,GBR,K1 - Men
2015,7,Tomas Zima,CZE,K1 - Men
2015,8,Richard Macus,SVK,K1 - Men
2015,9,Nikita Inkin,RUS,K1 - Men
2015,10,Jordi Cadena Sanchez,ESP,K1 - Men
2015,11,Lukas Stahl,GER,K1 - Men
2015,12,Mario Leitner,AUT,K1 - Men
2015,13,Jack Dangen,NZL,K1 - Men
2015,14,Gelindo Chiarello,SUI,K1 - Men
2015,15,James Cooper,GBR,K1 - Men
2015,16,Pierre Hellard,FRA,K1 - Men
2015,17,Felix Oschmautz,AUT,K1 - Men
2015,18,Dimitri Marx,SUI,K1 - Men
2015,19,Wiktor Sandera,POL,K1 - Men
2015,20,Niko Testen,SLO,K1 - Men
2015,21,Pavel Supolik,CZE,K1 - Men
2015,22,Krzysztof Majerczak,POL,K1 - Men
2015,23,Guillaume Graille,FRA,K1 - Men
2015,24,Geronimo Cortez,ARG,K1 - Men
2015,25,Eneko Auzmendi,ESP,K1 - Men
2015,26,Zack Mutton,NZL,K1 - Men
2015,27,Nil Garcia,ESP,K1 - Men
2015,28,Samuel Mcculloch,NZL,K1 - Men
2015,29,Tyler Smith,USA,K1 - Men
2015,30,Jordan Sherman,USA,K1 - Men
2015,31,Matias Contreras,ARG,K1 - Men
2015,32,Zachary Allin,GBR,K1 - Men
2015,33,Luca Cizman,SLO,K1 - Men
2015,34,Angus Thompson,AUS,K1 - Men
2015,35,Noel Hendrick,IRL,K1 - Men
2015,36,Jakob Weger,ITA,K1 - Men
2015,37,Tine Kancler,SLO,K1 - Men
2015,38,Guilherme Schena Dias Rodrigues,BRA,K1 - Men
2015,39,Jakub Brzezinski,POL,K1 - Men
2015,40,Daniel Tuiraviravi,FIJ,K1 - Men
2015,41,Brandon Orpwood,RSA,K1 - Men
2015,42,Guilherme Henrique Valentim De Loredo,BRA,K1 - Men
2015,43,Ursin Flepp,SUI,K1 - Men
2015,44,Gokul Flageul,NEP,K1 - Men
2015,45,Henry Bergen,USA,K1 - Men
2015,46,Alistair Mccreery,IRL,K1 - Men
2015,47,Andrew Musgrave,CAN,K1 - Men
2015,48,Ryota Morita,JPN,K1 - Men
2015,49,Maxime Leboeuf,CAN,K1 - Men
2015,50,Martin Gutierez Alias,ARG,K1 - Men
2015,51,Daniel Negrao Carrasco,BRA,K1 - Men
2015,52,Korawit Sukjaeng,THA,K1 - Men
2015,53,Tristan Carter,AUS,K1 - Men
2015,54,Alejandro Tames,MEX,K1 - Men
2015,55,Rattanajet Chooampai,THA,K1 - Men
2015,56,Jake Hodkinson,AUS,K1 - Men
2015,57,Tauan Vitor Chechi Lemes,PAR,K1 - Men
2015,58,Manuel Henriquez,CHI,K1 - Men
2015,59,Fernando Estay,CHI,K1 - Men
2015,60,Darius Ramrattan,CAN,K1 - Men
2015,61,Angelo Sosa,VEN,K1 - Men
2015,62,Darko Sandoval,CHI,K1 - Men
2016,1,Ruslan Pestov,UKR,K1 - Men
2016,2,Felix Oschmautz,AUT,K1 - Men
2016,3,Wiktor Sandera,POL,K1 - Men
2016,4,Thomas Strauss,GER,K1 - Men
2016,5,Radoslav Miko,SVK,K1 - Men
2016,6,Thomas Durand,FRA,K1 - Men
2016,7,Paul Cornut-Chauvinc,FRA,K1 - Men
2016,8,Jan Mrazek,CZE,K1 - Men
2016,9,Adam Gonsenica,SVK,K1 - Men
2016,10,Jakob Weger,ITA,K1 - Men
2016,11,Tine Kancler,SLO,K1 - Men
2016,12,Christopher Bowers,GBR,K1 - Men
2016,13,Guilherme Rodrigues,BRA,K1 - Men
2016,14,Lukas Stahl,GER,K1 - Men
2016,15,Vilem Korinek,CZE,K1 - Men
2016,16,Manuel Ochoa,ESP,K1 - Men
2016,17,Noah Hegge,GER,K1 - Men
2016,18,Piers Oliphant,GBR,K1 - Men
2016,19,Zack Mutton,NZL,K1 - Men
2016,20,Jakob Jez,SLO,K1 - Men
2016,21,Marcin Janur,POL,K1 - Men
2016,22,Mathis Soudi,MAR,K1 - Men
2016,23,Matias Contreras,ARG,K1 - Men
2016,24,Callum Aitken,NZL,K1 - Men
2016,25,Alexander Savitskiy,RUS,K1 - Men
2016,26,Panagiotis Zisekas,GRE,K1 - Men
2016,27,David Rozman,SLO,K1 - Men
2016,28,Martin Unterthurner,ITA,K1 - Men
2016,29,Igor Izyumov,RUS,K1 - Men
2016,30,Oliver Gilbert,GBR,K1 - Men
2016,31,Martin Gutierez Alias,ARG,K1 - Men
2016,32,Tomas Zima,CZE,K1 - Men
2016,33,Samuel Stanovsky,SVK,K1 - Men
2016,34,Malo Quemeneur,FRA,K1 - Men
2016,35,Dimitri Marx,SUI,K1 - Men
2016,36,Nil Garcia,ESP,K1 - Men
2016,37,Valentin Luther,ITA,K1 - Men
2016,38,Masaya Takiguchi,JPN,K1 - Men
2016,39,Luca Santos,POR,K1 - Men
2016,40,Mihael Loncar,CRO,K1 - Men
2016,41,Tristan Carter,AUS,K1 - Men
2016,42,Timothy Coward,AUS,K1 - Men
2016,43,Tyler Smith,USA,K1 - Men
2016,44,Jan Rohrer,SUI,K1 - Men
2016,45,Louis Richardson,AUS,K1 - Men
2016,46,Frederico Alvarenga,POR,K1 - Men
2016,47,Dmitry Labasov,RUS,K1 - Men
2016,48,Joshua Joseph,USA,K1 - Men
2016,49,Yusuke Muto,JPN,K1 - Men
2016,50,Ryota Morita,JPN,K1 - Men
2016,51,Alexandre Magalhaes,POR,K1 - Men
2016,52,Daniel Negrao Carrasco,BRA,K1 - Men
2016,53,Ami Sehic,CRO,K1 - Men
2016,54,Djanibek Temirgaliev,UZB,K1 - Men
2016,55,Enis Nebiovski,MKD,K1 - Men
2016,56,Sean Ansell,IRL,K1 - Men
2016,57,Keenan Simpson,CAN,K1 - Men
2016,58,Ramil Kirpichev,UZB,K1 - Men
2016,59,Trevor Boyd,CAN,K1 - Men
2016,60,Julian Ercoli,ARG,K1 - Men
2016,61,Koppany Racz,HUN,K1 - Men
2016,62,Nodirbek Ganiev,UZB,K1 - Men
2016,63,Jakub Brzezinski,POL,K1 - Men
2016,64,Murilo Sorgetz,BRA,K1 - Men
2016,65,Eneko Auzmendi,ESP,K1 - Men
2016,66,Artem Zamyslov,UKR,K1 - Men
2016,67,Cian Vaugh,IRL,K1 - Men
2016,68,Taylor Pittman,USA,K1 - Men
2016,69,Daniel Tuiraviravi,FIJ,K1 - Men
2016,70,Kriss Melnikonis,LAT,K1 - Men
2016,71,Luka Vragovic,CRO,K1 - Men
2016,72,Paitas Ngamsanga,THA,K1 - Men
2016,73,Matas Varslavenas,LTU,K1 - Men
2016,74,Conieth Mlarnon,IRL,K1 - Men
2016,75,Austin Widmer,SUI,K1 - Men
2016,76,Edvinas Turcinavicius,LTU,K1 - Men
2016,77,Vidar Bratt,SWE,K1 - Men
2016,78,Elias Bergseth Aaboen,NOR,K1 - Men
2016,79,Sheamus O'Connell,CAN,K1 - Men
2016,80,Sarunas Mickevicus,LTU,K1 - Men
2017,1,Felix Oschmautz,AUT,K1 - Men
2017,2,Tomas Zima,CZE,K1 - Men
2017,3,Jan Barta,CZE,K1 - Men
2017,4,Lukas Stahl,GER,K1 - Men
2017,4,Tine Kancler,SLO,K1 - Men
2017,6,Adam Gonsenica,SVK,K1 - Men
2017,7,Tommaso Fasoli,ITA,K1 - Men
2017,8,Zack Mutton,NZL,K1 - Men
2017,9,Tyler Smith,USA,K1 - Men
2017,10,Joshua Joseph,USA,K1 - Men
2017,11,Isaac Dufrene,FRA,K1 - Men
2017,12,Simon Hene,FRA,K1 - Men
2017,13,Pau Echaniz,ESP,K1 - Men
2017,14,Miquel Trave,ESP,K1 - Men
2017,15,Davide Ghisetti,ITA,K1 - Men
2017,16,Mathis Soudi,MAR,K1 - Men
2017,17,Yusuke Muto,JPN,K1 - Men
2017,18,Dmitry Labasov,RUS,K1 - Men
2017,19,David Paterson,GBR,K1 - Men
2017,20,Valentin Luther,ITA,K1 - Men
2017,21,Marcin Janur,POL,K1 - Men
2017,22,Jan Rohrer,SUI,K1 - Men
2017,23,Noah Hegge,GER,K1 - Men
2017,24,Taylor Pittman,USA,K1 - Men
2017,25,Lan Tominc,SLO,K1 - Men
2017,26,Josef Zizala,CZE,K1 - Men
2017,27,Matej Pasek,SVK,K1 - Men
2017,28,Eneko Auzmendi,ESP,K1 - Men
2017,29,Patrik Juricek,SVK,K1 - Men
2017,30,Guilherme Rodrigues,BRA,K1 - Men
2017,31,Louis Richardson,AUS,K1 - Men
2017,32,Mathias Reutimann,SUI,K1 - Men
2017,33,Mustafa Arda Acar,TUR,K1 - Men
2017,34,Julien Pajaud,FRA,K1 - Men
2017,35,Djanibek Temirgaliev,UZB,K1 - Men
2017,36,David Rozman,SLO,K1 - Men
2017,37,Etienne Chappell,GBR,K1 - Men
2017,38,Michael Dickinson,GBR,K1 - Men
2017,39,Luca Santos,POR,K1 - Men
2017,40,Luka Vragovic,CRO,K1 - Men
2017,41,Andrei Pospelov,RUS,K1 - Men
2017,42,Keenan Simpson,CAN,K1 - Men
2017,43,Louis Hannon,IRL,K1 - Men
2017,44,Callum Aitken,NZL,K1 - Men
2017,45,Janosch Unseld,GER,K1 - Men
2017,46,Jimmi Ly,SUI,K1 - Men
2017,47,Alexandre Magalhaes,POR,K1 - Men
2017,48,Kriss Melnikonis,LAT,K1 - Men
2017,49,Jose Carvalho,POR,K1 - Men
2017,50,Martin Gutierez Alias,ARG,K1 - Men
2017,51,Ami Sehic,CRO,K1 - Men
2017,52,Masaya Takiguchi,JPN,K1 - Men
2017,53,Julian Ercoli,ARG,K1 - Men
2017,54,Kosuke Saito,JPN,K1 - Men
2017,55,Mael Rivard,CAN,K1 - Men
2017,56,Enis Nebiovski,MKD,K1 - Men
2017,57,Cameron Mclaughlan,AUS,K1 - Men
2017,58,Koppany Racz,HUN,K1 - Men
2017,59,Kipras Talacka,LTU,K1 - Men
2017,60,Viktor Milanov,MKD,K1 - Men
2017,61,Paitas Ngamsanga,THA,K1 - Men
2017,62,Bartosz Kubik,POL,K1 - Men
2017,63,Artem Zamyslov,UKR,K1 - Men
2017,64,Murilo Sorgetz,BRA,K1 - Men
2017,65,Gabriel De Coster,BEL,K1 - Men
2017,66,Damian Torwick,NZL,K1 - Men
2017,67,Jaroslaw Zaziablo,POL,K1 - Men
2017,68,Okan Celik,TUR,K1 - Men
2017,69,Sheamus O'Connell,CAN,K1 - Men
2017,70,Maksim Malyshev,RUS,K1 - Men
2017,71,Vidar Lindberg,SWE,K1 - Men
2017,72,Pavle Dordjevic,SRB,K1 - Men
2017,73,Sarunas Mickevicus,LTU,K1 - Men
2017,74,Panagiotis Zisekas,GRE,K1 - Men
2017,75,Arnoldas Gotto,LTU,K1 - Men
2017,76,Hristijan Ignatov,MKD,K1 - Men
2017,77,Marko Kesic,SRB,K1 - Men
2017,78,Aleksandar Boskovic,SRB,K1 - Men
2017,79,Victor Hennin,BEL,K1 - Men
2017,80,Mohamad Nazrin Najib,MAS,K1 - Men
2018,1,Jan Barta,CZE,K1 - Men
2018,2,Anatole Delassus,FRA,K1 - Men
2018,3,Tomas Zima,CZE,K1 - Men
2018,4,Vincent Delahaye,FRA,K1 - Men
2018,5,Zack Mutton,NZL,K1 - Men
2018,6,Egor Smirnov,RUS,K1 - Men
2018,7,Jakob Luther,ITA,K1 - Men
2018,8,Guilherme Rodrigues,BRA,K1 - Men
2018,9,Pau Echaniz,ESP,K1 - Men
2018,10,Etienne Chappell,GBR,K1 - Men
2018,11,Murilo Sorgetz,BRA,K1 - Men
2018,12,Jakub Krejci,CZE,K1 - Men
2018,13,Miquel Trave,ESP,K1 - Men
2018,14,Gabriel De Coster,BEL,K1 - Men
2018,15,Joshua Joseph,USA,K1 - Men
2018,16,Valentin Luther,ITA,K1 - Men
2018,17,Tim Bremer,GER,K1 - Men
2018,18,Joshua Dietz,GER,K1 - Men
2018,19,Julien Pajaud,FRA,K1 - Men
2018,20,Taylor Pittman,USA,K1 - Men
2018,21,Ben Haylett,GBR,K1 - Men
2018,22,Lan Tominc,SLO,K1 - Men
2018,23,Matus Stafen,SVK,K1 - Men
2018,24,Leonardo Grimandi,ITA,K1 - Men
2018,24,Vid Ostrbenk,SLO,K1 - Men
2018,26,Maximillian Dilli,GER,K1 - Men
2018,27,Jake Brown,GBR,K1 - Men
2018,28,Jan Rohrer,SUI,K1 - Men
2018,29,Koppany Racz,HUN,K1 - Men
2018,30,Enis Nebiovski,MKD,K1 - Men
2018,31,Yusuke Muto,JPN,K1 - Men
2018,32,Bartosz Kubik,POL,K1 - Men
2018,33,Dmitry Labasov,RUS,K1 - Men
2018,34,Patrik Juricek,SVK,K1 - Men
2018,35,Matej Pasek,SVK,K1 - Men
2018,36,Damian Torwick,NZL,K1 - Men
2018,37,Kosuke Saito,JPN,K1 - Men
2018,38,Adriaan Behets,BEL,K1 - Men
2018,39,Aleksandr Rashev,RUS,K1 - Men
2018,40,Piotr Prusak,POL,K1 - Men
2018,41,Jack Choate,AUS,K1 - Men
2018,42,Ulan Valant,SLO,K1 - Men
2018,43,Kacper Majerczak,POL,K1 - Men
2018,44,Luas Fara Boretti,BRA,K1 - Men
2018,45,Jolan Schmocker,SUI,K1 - Men
2018,46,Jose Carvalho,POR,K1 - Men
2018,47,Artem Zamyslov,UKR,K1 - Men
2018,48,Austin Akins,CAN,K1 - Men
2018,49,Marko Dordevic,SRB,K1 - Men
2018,50,Wesley Bolyard,USA,K1 - Men
2018,51,Adria Moyano,ESP,K1 - Men
2018,52,Julian Ercoli,ARG,K1 - Men
2018,53,Kipras Talacka,LTU,K1 - Men
2018,54,Tobias Fantini,ARG,K1 - Men
2018,55,Vidar Lindberg,SWE,K1 - Men
2018,56,Louis Hannon,IRL,K1 - Men
2018,57,Ivo Kurvins,LAT,K1 - Men
2018,58,Charalampos Troiannos,GRE,K1 - Men
2018,59,Gaetan De Greef,BEL,K1 - Men
2018,60,Bradley Mclaughlan,AUS,K1 - Men
2018,61,Tom Morley,IRL,K1 - Men
2018,62,Joao Cunha,POR,K1 - Men
2018,63,Aleksandar Boskovic,SRB,K1 - Men
2018,64,Fernando Estay,CHI,K1 - Men
2018,65,Panagiotis Arvanitis,GRE,K1 - Men
2018,66,Matas Varslavenas,LTU,K1 - Men
2018,67,Yuuki Tanaka,JPN,K1 - Men
2018,68,Pavle Dordjevic,SRB,K1 - Men
2018,69,Joshua Montalto,AUS,K1 - Men
2018,70,Jarl Frizlen,SUI,K1 - Men
2018,71,Mael Rivard,CAN,K1 - Men
2018,72,George Snook,NZL,K1 - Men
2018,73,Gustas Malakauskas,LTU,K1 - Men
2018,74,Nicholas Tripano,ARG,K1 - Men
2018,75,Panagiotis Zisekas,GRE,K1 - Men
2018,76,Ignacio Bakovic,CHI,K1 - Men
